1	9.763864e-02
2	9.629840e-02
3	1.095474e-01
4	4.623642e-02
5	1.003919e-01
6	4.866995e-02
7	1.825261e-02
8	1.111594e-01
9	2.404019e-02
10	9.716899e-01











1	1.061010e-01
2	2.240564e-02
3	1.405826e-02
4	6.955576e-02
5	1.339675e-01
6	2.054181e-02
7	1.086466e-01
8	9.661922e-02
9	6.807477e-01
10	6.945810e-01











1	8.074284e-02
2	9.299090e-02
3	2.667426e-21
4	5.383841e-02
5	1.491849e-01
6	3.596208e-02
7	1.510589e-01
8	1.272469e-01
9	9.569560e-01
10	1.116385e-01











1	6.513529e-02
2	9.512940e-02
3	9.018010e-02
4	1.534616e-01
5	1.246033e-01
6	1.135182e-01
7	2.795720e-04
8	6.505162e-01
9	2.759420e-02
10	7.118575e-01











1	1.132831e-01
2	9.422640e-31
3	8.874627e-02
4	1.381859e-01
5	1.111455e-01
6	6.028275e-02
7	6.932510e-02
8	7.181370e-01
9	6.474965e-01
10	9.153216e-02











1	9.429584e-02
2	5.597691e-02
3	8.590721e-02
4	1.337652e-01
5	1.075899e-01
6	5.654382e-02
7	6.757255e-02
8	9.686931e-01
9	6.864168e-72
10	9.487282e-02











1	1.026808e-01
2	1.051956e-01
3	1.621643e-01
4	9.645416e-02
5	9.101101e-02
6	1.159493e-01
7	6.328826e-01
8	9.177324e-02
9	8.611237e-76
10	7.158467e-01











1	9.000319e-02
2	7.150353e-02
3	6.754584e-02
4	4.021164e-02
5	1.313752e-01
6	3.168278e-48
7	6.990910e-01
8	1.208327e-01
9	6.785448e-01
10	2.635843e-34











1	9.122519e-02
2	1.334416e-01
3	3.765502e-02
4	4.007536e-02
5	9.751675e-03
6	8.051506e-02
7	6.965005e-01
8	6.911557e-01
9	3.833667e-02
10	2.420840e-51











1	9.074749e-02
2	5.459211e-02
3	8.457377e-02
4	2.614137e-02
5	2.112005e-02
6	7.421689e-02
7	9.768353e-01
8	3.653637e-02
9	9.719593e-02
10	1.001019e-01











1	1.104858e-01
2	8.777588e-02
3	8.416449e-02
4	5.620305e-02
5	8.011818e-02
6	6.594984e-01
7	3.840375e-02
8	1.153329e-01
9	6.663198e-02
10	7.136328e-01











1	8.548254e-02
2	9.286676e-02
3	7.020130e-03
4	3.454169e-02
5	1.463862e-01
6	7.317943e-01
7	9.386872e-02
8	7.307517e-02
9	6.357601e-01
10	8.694240e-02











1	6.868561e-02
2	1.010778e-01
3	1.158076e-01
4	1.259967e-01
5	5.852108e-02
6	6.700029e-01
7	1.282644e-01
8	6.859343e-01
9	1.208499e-01
10	8.344640e-02











1	1.289664e-01
2	1.578970e-01
3	7.512219e-02
4	3.401063e-02
5	1.056137e-15
6	6.282578e-01
7	7.257309e-01
8	6.985007e-02
9	7.627687e-02
10	1.414113e-01











1	8.772852e-02
2	6.957165e-02
3	6.465785e-03
4	3.178625e-02
5	8.222360e-02
6	9.662597e-01
7	1.216096e-01
8	9.792652e-02
9	1.144141e-01
10	1.033089e-01











1	5.203231e-02
2	4.622304e-02
3	7.694337e-02
4	1.240909e-01
5	6.853922e-01
6	1.096565e-64
7	7.167980e-02
8	1.326362e-01
9	2.488633e-02
10	6.933456e-01











1	1.078298e-01
2	1.214930e-01
3	9.471614e-02
4	4.386702e-02
5	6.545846e-01
6	1.078343e-01
7	8.662788e-02
8	8.152378e-02
9	7.064341e-01
10	9.702327e-02











1	1.135622e-01
2	1.202418e-01
3	1.027218e-01
4	4.476514e-02
