0	0	1	
0	0.0905357	0.995893	
0	0.196116	0.980581	
0	0.316228	0.948683	
0	0.447214	0.894427	
0	0.581238	0.813733	
0	0.707107	0.707107	
0	0.813733	0.581238	
0	0.894427	0.447214	
0	0.948683	0.316228	
0	0.980581	0.196116	
0	0.995893	0.0905357	
0	1	0	
0.0905357	0	0.995893	
0.0990148	0.0990148	0.990148	
0.107833	0.215666	0.970495	
0.116248	0.348743	0.929981	
0.123091	0.492366	0.86164	
0.127	0.635001	0.762001	
0.127	0.762001	0.635001	
0.123091	0.86164	0.492366	
0.116248	0.929981	0.348743	
0.107833	0.970495	0.215666	
0.0990148	0.990148	0.0990148	
0.0905357	0.995893	0	
0.196116	0	0.980581	
0.215666	0.107833	0.970495	
0.235702	0.235702	0.942809	
0.254	0.381	0.889001	
0.267261	0.534522	0.801784	
0.272166	0.680414	0.680414	
0.267261	0.801784	0.534522	
0.254	0.889001	0.381	
0.235702	0.942809	0.235702	
0.215666	0.970495	0.107833	
0.196116	0.980581	0	
0.316228	0	0.948683	
0.348743	0.116248	0.929981	
0.381	0.254	0.889001	
0.408248	0.408248	0.816497	
0.424264	0.565685	0.707107	
0.424264	0.707107	0.565685	
0.408248	0.816497	0.408248	
0.381	0.889001	0.254	
0.348743	0.929981	0.116248	
0.316228	0.948683	0	
0.447214	0	0.894427	
0.492366	0.123091	0.86164	
0.534522	0.267261	0.801784	
0.565685	0.424264	0.707107	
0.57735	0.57735	0.57735	
0.565685	0.707107	0.424264	
0.534522	0.801784	0.267261	
0.492366	0.86164	0.123091	
0.447214	0.894427	0	
0.581238	0	0.813733	
0.635001	0.127	0.762001	
0.680414	0.272166	0.680414	
0.707107	0.424264	0.565685	
0.707107	0.565685	0.424264	
0.680414	0.680414	0.272166	
0.635001	0.762001	0.127	
0.581238	0.813733	0	
0.707107	0	0.707107	
0.762001	0.127	0.635001	
0.801784	0.267261	0.534522	
0.816497	0.408248	0.408248	
0.801784	0.534522	0.267261	
0.762001	0.635001	0.127	
0.707107	0.707107	0	
0.813733	0	0.581238	
0.86164	0.123091	0.492366	
0.889001	0.254	0.381	
0.889001	0.381	0.254	
0.86164	0.492366	0.123091	
0.813733	0.581238	0	
0.894427	0	0.447214	
0.929981	0.116248	0.348743	
0.942809	0.235702	0.235702	
0.929981	0.348743	0.116248	
0.894427	0.447214	0	
0.948683	0	0.316228	
0.970495	0.107833	0.215666	
0.970495	0.215666	0.107833	
0.948683	0.316228	0	
0.980581	0	0.196116	
0.990148	0.0990148	0.0990148	
0.980581	0.196116	0	
0.995893	0	0.0905357	
0.995893	0.0905357	0	
1	0	0	
